trait_group,trait,coding_system,selection_tier,row_count
anthropometry,body_height,ctv3,core,3
anthropometry,body_height,ctv3,extended_review,18
anthropometry,body_height,read_v2,core,1
anthropometry,body_height,read_v2,extended_review,8
anthropometry,body_mass_index,ctv3,core,2
anthropometry,body_mass_index,ctv3,extended_review,75
anthropometry,body_mass_index,read_v2,core,1
anthropometry,body_mass_index,read_v2,extended_review,35
anthropometry,body_weight,ctv3,core,3
anthropometry,body_weight,ctv3,extended_review,41
anthropometry,body_weight,read_v2,core,1
anthropometry,body_weight,read_v2,extended_review,4
anthropometry,hip_circumference,ctv3,core,3
anthropometry,hip_circumference,read_v2,core,1
anthropometry,waist_circumference,ctv3,core,8
anthropometry,waist_circumference,read_v2,core,3
glycaemia,blood_glucose,ctv3,core,97
glycaemia,blood_glucose,ctv3,extended_review,2
glycaemia,blood_glucose,read_v2,core,31
glycaemia,blood_glucose,read_v2,extended_review,1
glycaemia,c_peptide,ctv3,core,6
glycaemia,c_peptide,read_v2,core,2
glycaemia,hba1c,ctv3,core,7
glycaemia,hba1c,read_v2,core,1
glycaemia,insulin,ctv3,core,4
glycaemia,insulin,read_v2,core,1
haematology,haemoglobin,ctv3,core,5
haematology,haemoglobin,read_v2,core,1
haematology,mean_corpuscular_volume,ctv3,core,2
haematology,mean_corpuscular_volume,ctv3,extended_review,12
haematology,mean_corpuscular_volume,read_v2,core,1
haematology,mean_corpuscular_volume,read_v2,extended_review,6
haematology,platelet_count,ctv3,core,4
haematology,platelet_count,ctv3,extended_review,4
haematology,platelet_count,read_v2,core,2
haematology,platelet_count,read_v2,extended_review,2
haematology,red_cell_distribution_width,ctv3,core,4
haematology,red_cell_distribution_width,read_v2,core,1
haematology,white_blood_cell_count,ctv3,core,6
haematology,white_blood_cell_count,ctv3,extended_review,6
haematology,white_blood_cell_count,read_v2,core,3
haematology,white_blood_cell_count,read_v2,extended_review,3
haemodynamics,blood_pressure,ctv3,core,2
haemodynamics,blood_pressure,ctv3,extended_review,23
haemodynamics,blood_pressure,read_v2,core,1
haemodynamics,blood_pressure,read_v2,extended_review,10
haemodynamics,diastolic_blood_pressure,ctv3,core,28
haemodynamics,diastolic_blood_pressure,ctv3,extended_review,18
haemodynamics,diastolic_blood_pressure,read_v2,core,10
haemodynamics,diastolic_blood_pressure,read_v2,extended_review,3
haemodynamics,systolic_blood_pressure,ctv3,core,28
haemodynamics,systolic_blood_pressure,ctv3,extended_review,18
haemodynamics,systolic_blood_pressure,read_v2,core,10
haemodynamics,systolic_blood_pressure,read_v2,extended_review,3
inflammation,c_reactive_protein,ctv3,core,7
inflammation,c_reactive_protein,ctv3,extended_review,1
inflammation,c_reactive_protein,read_v2,core,1
inflammation,c_reactive_protein,read_v2,extended_review,1
lipids,apolipoprotein_a,ctv3,core,6
lipids,apolipoprotein_a,read_v2,core,2
lipids,apolipoprotein_b,ctv3,core,6
lipids,apolipoprotein_b,read_v2,core,2
lipids,hdl_cholesterol,ctv3,core,13
lipids,hdl_cholesterol,ctv3,extended_review,9
lipids,hdl_cholesterol,read_v2,core,6
lipids,hdl_cholesterol,read_v2,extended_review,2
lipids,ldl_cholesterol,ctv3,core,16
lipids,ldl_cholesterol,ctv3,extended_review,3
lipids,ldl_cholesterol,read_v2,core,7
lipids,lipoprotein_a,ctv3,core,2
lipids,lipoprotein_a,read_v2,core,1
lipids,total_cholesterol,ctv3,core,7
lipids,total_cholesterol,ctv3,extended_review,24
lipids,total_cholesterol,read_v2,core,2
lipids,total_cholesterol,read_v2,extended_review,10
lipids,triglycerides,ctv3,core,5
lipids,triglycerides,ctv3,extended_review,28
lipids,triglycerides,read_v2,core,2
lipids,triglycerides,read_v2,extended_review,12
liver,alanine_aminotransferase,ctv3,core,9
liver,alanine_aminotransferase,read_v2,core,3
liver,alanine_aminotransferase,read_v2,extended_review,2
liver,albumin,ctv3,core,6
liver,albumin,ctv3,extended_review,2
liver,albumin,read_v2,core,2
liver,albumin,read_v2,extended_review,2
liver,alkaline_phosphatase,ctv3,core,7
liver,alkaline_phosphatase,ctv3,extended_review,5
liver,alkaline_phosphatase,read_v2,core,2
liver,alkaline_phosphatase,read_v2,extended_review,2
liver,aspartate_aminotransferase,ctv3,core,10
liver,aspartate_aminotransferase,read_v2,core,3
liver,bilirubin,ctv3,core,15
liver,bilirubin,ctv3,extended_review,8
liver,bilirubin,read_v2,core,5
liver,bilirubin,read_v2,extended_review,4
liver,gamma_glutamyl_transferase,ctv3,core,8
liver,gamma_glutamyl_transferase,ctv3,extended_review,4
liver,gamma_glutamyl_transferase,read_v2,core,2
liver,gamma_glutamyl_transferase,read_v2,extended_review,2
medication,antihypertensive,bnf,core,131
medication,antihypertensive,read_v2_drug,core,1098
medication,glucose_lowering,bnf,core,68
medication,glucose_lowering,read_v2_drug,core,507
medication,lipid_lowering,bnf,core,34
medication,lipid_lowering,read_v2_drug,core,189
medication,weight_management,bnf,core,11
medication,weight_management,read_v2_drug,core,47
metabolic,calcium,ctv3,core,11
metabolic,calcium,ctv3,extended_review,6
metabolic,calcium,read_v2,core,4
metabolic,calcium,read_v2,extended_review,4
metabolic,phosphate,ctv3,core,6
metabolic,phosphate,ctv3,extended_review,2
metabolic,phosphate,read_v2,core,1
metabolic,phosphate,read_v2,extended_review,3
metabolic,urate,ctv3,core,10
metabolic,urate,read_v2,core,3
metabolic,vitamin_d,ctv3,core,5
metabolic,vitamin_d,ctv3,extended_review,6
metabolic,vitamin_d,read_v2,core,2
metabolic,vitamin_d,read_v2,extended_review,2
renal,albumin_creatinine_ratio,ctv3,core,9
renal,albumin_creatinine_ratio,read_v2,core,2
renal,creatinine,ctv3,core,6
renal,creatinine,ctv3,extended_review,11
renal,creatinine,read_v2,core,2
renal,creatinine,read_v2,extended_review,7
renal,cystatin_c,ctv3,core,5
renal,cystatin_c,read_v2,core,2
renal,egfr,ctv3,core,12
renal,egfr,read_v2,core,5
renal,urea,ctv3,core,8
renal,urea,read_v2,core,3
thyroid,free_t3,ctv3,core,8
thyroid,free_t3,ctv3,extended_review,1
thyroid,free_t3,read_v2,core,3
thyroid,free_t4,ctv3,core,8
thyroid,free_t4,ctv3,extended_review,1
thyroid,free_t4,read_v2,core,3
thyroid,thyroglobulin_antibody,ctv3,extended_review,3
thyroid,thyroid_peroxidase_antibody,ctv3,core,5
thyroid,thyroid_peroxidase_antibody,ctv3,extended_review,1
thyroid,thyroid_peroxidase_antibody,read_v2,core,2
thyroid,tsh,ctv3,core,13
thyroid,tsh,ctv3,extended_review,7
thyroid,tsh,read_v2,core,3
thyroid,tsh,read_v2,extended_review,3
