trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,all_lookup_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,.22K.,BMI - Body mass index,Body mass index - observation | Body mass index | BMI - Body mass index,Body mass index - observation | Body mass index | BMI - Body mass index,core,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K..,BMI - Body mass index,Body mass index - observation | Body mass index | BMI - Body mass index,Body mass index - observation | Body mass index | BMI - Body mass index,core,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,.22K1,Body mass index normal K/M2,Body mass index normal K/M2,Body mass index normal K/M2,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,.22K2,Body mass index high K/M2,Body mass index high K/M2,Body mass index high K/M2,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,.22K3,Body mass index low K/M2,Body mass index low K/M2,Body mass index low K/M2,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,.22K4,Body mass index index 25-29 - overweight,Body mass index index 25-29 - overweight,Body mass index index 25-29 - overweight,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,.22K5,Body mass index 30+ - obesity,Body mass index 30+ - obesity,Body mass index 30+ - obesity,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,.22K6,Body mass index less than 20,Body mass index less than 20,Body mass index less than 20,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,.22K7,Body mass index 40+ - severely obese,Body mass index 40+ - severely obese,Body mass index 40+ - severely obese,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,.22K8,Body mass index 20-24 - normal,Body mass index 20-24 - normal,Body mass index 20-24 - normal,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K1.,Body mass index normal K/M2,Body mass index normal K/M2,Body mass index normal K/M2,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K2.,Body mass index high K/M2,Body mass index high K/M2,Body mass index high K/M2,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K3.,Body mass index low K/M2,Body mass index low K/M2,Body mass index low K/M2,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K4.,Body mass index index 25-29 - overweight,Body mass index index 25-29 - overweight,Body mass index index 25-29 - overweight,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K5.,Body mass index 30+ - obesity,Body mass index 30+ - obesity,Body mass index 30+ - obesity,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K6.,Body mass index less than 20,Body mass index less than 20,Body mass index less than 20,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K7.,Body mass index 40+ - severely obese,Body mass index 40+ - severely obese,Body mass index 40+ - severely obese,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K8.,Body mass index 20-24 - normal,Body mass index 20-24 - normal,Body mass index 20-24 - normal,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K9.,Body mass index centile,Body mass index centile,Body mass index centile,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K90,Baseline body mass index centile,Baseline body mass index centile,Baseline body mass index centile,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K91,Child body mass index centile,Child body mass index centile | Child BMI (body mass index) centile,Child body mass index centile | Child BMI (body mass index) centile,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K92,Child body mass index less than 0.4th centile,Child body mass index less than 0.4th centile,Child body mass index less than 0.4th centile,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K93,Child body mass index 0.4th-1.9th centile,Child body mass index 0.4th-1.9th centile,Child body mass index 0.4th-1.9th centile,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K94,Child body mass index on 2nd centile,Child body mass index on 2nd centile,Child body mass index on 2nd centile,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K95,Child body mass index 3rd-8th centile,Child body mass index 3rd-8th centile,Child body mass index 3rd-8th centile,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K96,Child body mass index on 9th centile,Child body mass index on 9th centile,Child body mass index on 9th centile,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K97,Child body mass index 10th-24th centile,Child body mass index 10th-24th centile,Child body mass index 10th-24th centile,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K98,Child body mass index on 25th centile,Child body mass index on 25th centile,Child body mass index on 25th centile,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K99,Child body mass index 26th-49th centile,Child body mass index 26th-49th centile,Child body mass index 26th-49th centile,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K9A,Child body mass index on 50th centile,Child body mass index on 50th centile,Child body mass index on 50th centile,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K9B,Child body mass index 51st-74th centile,Child body mass index 51st-74th centile,Child body mass index 51st-74th centile,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K9C,Child body mass index on 75th centile,Child body mass index on 75th centile,Child body mass index on 75th centile,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K9D,Child body mass index 76th-90th centile,Child body mass index 76th-90th centile,Child body mass index 76th-90th centile,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K9E,Child body mass index on 91st centile,Child body mass index on 91st centile,Child body mass index on 91st centile,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K9F,Child body mass index 92nd-97th centile,Child body mass index 92nd-97th centile,Child body mass index 92nd-97th centile,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K9G,Child body mass index on 98th centile,Child body mass index on 98th centile,Child body mass index on 98th centile,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K9H,Child body mass index 98.1st-99.6th centile,Child body mass index 98.1st-99.6th centile,Child body mass index 98.1st-99.6th centile,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K9J,Child body mass index greater than 99.6th centile,Child body mass index greater than 99.6th centile,Child body mass index greater than 99.6th centile,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22K9K,Down's syndrome body mass index centile,Down's syndrome body mass index centile,Down's syndrome body mass index centile,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22KB.,Baseline body mass index,Baseline body mass index,Baseline body mass index,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22KC.,Obese class I (body mass index 30.0 - 34.9),Obese class I (body mass index 30.0 - 34.9),Obese class I (body mass index 30.0 - 34.9),extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22KD.,Obese class II (body mass index 35.0 - 39.9),Obese class II (body mass index 35.0 - 39.9),Obese class II (body mass index 35.0 - 39.9),extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,22KE.,Obese class III (body mass index equal to or greater than 40.0),Obese class III (body mass index equal to or greater than 40.0),Obese class III (body mass index equal to or greater than 40.0),extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,38DB1,World Health Organisation FRAX 10 year hip fracture probability score with body mass index,World Health Organisation FRAX 10 year hip fracture probability score with body mass index,World Health Organisation FRAX 10 year hip fracture probability score with body mass index,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,38DC1,World Health Organisation FRAX 10 year osteoporotic fracture probability score with body mass index,World Health Organisation FRAX 10 year osteoporotic fracture probability score with body mass index,World Health Organisation FRAX 10 year osteoporotic fracture probability score with body mass index,extended_review,numeric_candidate,kg/m2,read_ctv3_lkp,P,candidate_requires_clinical_review
