trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,all_lookup_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,44TE.,30 minute blood glucose level,30 minute blood glucose level,30 minute blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,44TF.,60 minute blood glucose level,60 minute blood glucose level,60 minute blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,44TG.,90 minute blood glucose level,90 minute blood glucose level,90 minute blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,44TH.,120 minute blood glucose level,120 minute blood glucose level,120 minute blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,44TI.,150 minute blood glucose level,150 minute blood glucose level,150 minute blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,44TJ.,Blood glucose level,Blood glucose level,Blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,44TJ8,Baseline blood glucose level,Baseline blood glucose level,Baseline blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,44TJ9,Blood glucose level after evening meal,Blood glucose level after evening meal,Blood glucose level after evening meal,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,44TJA,Blood glucose level during night,Blood glucose level during night,Blood glucose level during night,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,44TK.,Fasting blood glucose level,Fasting blood glucose level,Fasting blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,44U..,Plasma glucose level,Blood glucose result | Plasma glucose level,Blood glucose result | Blood sugar result | Plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,44U7.,2 hour post-prandial blood glucose level,2 hour post-prandial blood glucose level,2 hour post-prandial blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,44f..,Serum glucose level,Serum glucose level,Serum glucose level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,44f0.,Serum random glucose level,Serum random glucose level,Serum random glucose level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,44f1.,Serum fasting glucose level,Serum fasting glucose level,Serum fasting glucose level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,44f3.,30 minute serum glucose level,30 minute serum glucose level,30 minute serum glucose level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,44f4.,60 minute serum glucose level,60 minute serum glucose level,60 minute serum glucose level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,44f5.,90 minute serum glucose level,90 minute serum glucose level,90 minute serum glucose level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,44f6.,120 minute serum glucose level,120 minute serum glucose level,120 minute serum glucose level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
