trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,all_lookup_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
haematology.white_blood_cell_count.ctv3,haematology,white_blood_cell_count,ctv3,gp_clinical,read_3,exact,true,.42H.,WCC - White blood cell count,White blood cell count - observation | White blood cell count | WBC - White blood cell count | WCC - White blood cell count,White blood cell count - observation | White blood cell count | WBC - White blood cell count | WCC - White blood cell count,core,numeric_candidate,10^9/L,read_ctv3_lkp,P,candidate_requires_clinical_review
haematology.white_blood_cell_count.ctv3,haematology,white_blood_cell_count,ctv3,gp_clinical,read_3,exact,true,.42HZ,Total white cell count NOS,Total white cell count NOS,Total white cell count NOS,core,numeric_candidate,10^9/L,read_ctv3_lkp,P,candidate_requires_clinical_review
haematology.white_blood_cell_count.ctv3,haematology,white_blood_cell_count,ctv3,gp_clinical,read_3,exact,true,.42IZ,Diff. white cell count NOS,Diff. white cell count NOS,Diff. white cell count NOS,core,numeric_candidate,10^9/L,read_ctv3_lkp,P,candidate_requires_clinical_review
haematology.white_blood_cell_count.ctv3,haematology,white_blood_cell_count,ctv3,gp_clinical,read_3,exact,true,42H..,WCC - White blood cell count,White blood cell count - observation | White blood cell count | WBC - White blood cell count | WCC - White blood cell count,White blood cell count - observation | White blood cell count | WBC - White blood cell count | WCC - White blood cell count,core,numeric_candidate,10^9/L,read_ctv3_lkp,P,candidate_requires_clinical_review
haematology.white_blood_cell_count.ctv3,haematology,white_blood_cell_count,ctv3,gp_clinical,read_3,exact,true,42HZ.,Total white cell count NOS,Total white cell count NOS,Total white cell count NOS,core,numeric_candidate,10^9/L,read_ctv3_lkp,P,candidate_requires_clinical_review
haematology.white_blood_cell_count.ctv3,haematology,white_blood_cell_count,ctv3,gp_clinical,read_3,exact,true,42IZ.,Diff. white cell count NOS,Diff. white cell count NOS,Diff. white cell count NOS,core,numeric_candidate,10^9/L,read_ctv3_lkp,P,candidate_requires_clinical_review
haematology.white_blood_cell_count.ctv3,haematology,white_blood_cell_count,ctv3,gp_clinical,read_3,exact,true,.42H1,White cell count normal,White cell count normal,White cell count normal,extended_review,numeric_candidate,10^9/L,read_ctv3_lkp,P,candidate_requires_clinical_review
haematology.white_blood_cell_count.ctv3,haematology,white_blood_cell_count,ctv3,gp_clinical,read_3,exact,true,.42H5,White cell count abnormal,White cell count abnormal,White cell count abnormal,extended_review,numeric_candidate,10^9/L,read_ctv3_lkp,P,candidate_requires_clinical_review
haematology.white_blood_cell_count.ctv3,haematology,white_blood_cell_count,ctv3,gp_clinical,read_3,exact,true,.42I1,Diff. white cell count normal,Diff. white cell count normal,Diff. white cell count normal,extended_review,numeric_candidate,10^9/L,read_ctv3_lkp,P,candidate_requires_clinical_review
haematology.white_blood_cell_count.ctv3,haematology,white_blood_cell_count,ctv3,gp_clinical,read_3,exact,true,42H1.,White cell count normal,White cell count normal,White cell count normal,extended_review,numeric_candidate,10^9/L,read_ctv3_lkp,P,candidate_requires_clinical_review
haematology.white_blood_cell_count.ctv3,haematology,white_blood_cell_count,ctv3,gp_clinical,read_3,exact,true,42H5.,White cell count abnormal,White cell count abnormal,White cell count abnormal,extended_review,numeric_candidate,10^9/L,read_ctv3_lkp,P,candidate_requires_clinical_review
haematology.white_blood_cell_count.ctv3,haematology,white_blood_cell_count,ctv3,gp_clinical,read_3,exact,true,42I1.,Diff. white cell count normal,Diff. white cell count normal,Diff. white cell count normal,extended_review,numeric_candidate,10^9/L,read_ctv3_lkp,P,candidate_requires_clinical_review
