trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,all_lookup_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
haemodynamics.blood_pressure.ctv3,haemodynamics,blood_pressure,ctv3,gp_clinical,read_3,exact,true,.246.,O/E - blood pressure,O/E - blood pressure reading | O/E - blood pressure,O/E - blood pressure reading | O/E - BP reading | O/E - blood pressure,core,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.blood_pressure.ctv3,haemodynamics,blood_pressure,ctv3,gp_clinical,read_3,exact,true,246..,O/E - blood pressure,O/E - blood pressure reading | O/E - blood pressure,O/E - blood pressure reading | O/E - BP reading | O/E - blood pressure,core,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.blood_pressure.ctv3,haemodynamics,blood_pressure,ctv3,gp_clinical,read_3,exact,true,.246C,Lying blood pressure reading,Lying blood pressure reading,Lying blood pressure reading,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.blood_pressure.ctv3,haemodynamics,blood_pressure,ctv3,gp_clinical,read_3,exact,true,.246D,Standing blood pressure reading,Standing blood pressure reading,Standing blood pressure reading,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.blood_pressure.ctv3,haemodynamics,blood_pressure,ctv3,gp_clinical,read_3,exact,true,.246E,Sitting blood pressure reading,Sitting blood pressure reading,Sitting blood pressure reading,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.blood_pressure.ctv3,haemodynamics,blood_pressure,ctv3,gp_clinical,read_3,exact,true,.246F,O/E - blood pressure decreased,O/E - blood pressure decreased,O/E - blood pressure decreased,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.blood_pressure.ctv3,haemodynamics,blood_pressure,ctv3,gp_clinical,read_3,exact,true,.246Z,O/E-blood pressure reading NOS,O/E-blood pressure reading NOS,O/E-blood pressure reading NOS,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.blood_pressure.ctv3,haemodynamics,blood_pressure,ctv3,gp_clinical,read_3,exact,true,.246g,Self measured blood pressure reading,Self measured blood pressure reading,Self measured blood pressure reading | Self measured BP reading,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.blood_pressure.ctv3,haemodynamics,blood_pressure,ctv3,gp_clinical,read_3,exact,true,.RG21,[D]Nonspecific low blood pressure reading,[D]Nonspecific low blood pressure reading,[D]Nonspecific low blood pressure reading,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.blood_pressure.ctv3,haemodynamics,blood_pressure,ctv3,gp_clinical,read_3,exact,true,246C.,Lying blood pressure reading,Lying blood pressure reading,Lying blood pressure reading,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.blood_pressure.ctv3,haemodynamics,blood_pressure,ctv3,gp_clinical,read_3,exact,true,246D.,Standing blood pressure reading,Standing blood pressure reading,Standing blood pressure reading,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.blood_pressure.ctv3,haemodynamics,blood_pressure,ctv3,gp_clinical,read_3,exact,true,246E.,Sitting blood pressure reading,Sitting blood pressure reading,Sitting blood pressure reading,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.blood_pressure.ctv3,haemodynamics,blood_pressure,ctv3,gp_clinical,read_3,exact,true,246F.,O/E - blood pressure decreased,O/E - blood pressure decreased,O/E - blood pressure decreased,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.blood_pressure.ctv3,haemodynamics,blood_pressure,ctv3,gp_clinical,read_3,exact,true,246Z.,O/E-blood pressure reading NOS,O/E-blood pressure reading NOS,O/E-blood pressure reading NOS,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.blood_pressure.ctv3,haemodynamics,blood_pressure,ctv3,gp_clinical,read_3,exact,true,246g.,Self measured blood pressure reading,Self measured blood pressure reading,Self measured blood pressure reading | Self measured BP reading,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.blood_pressure.ctv3,haemodynamics,blood_pressure,ctv3,gp_clinical,read_3,exact,true,662s.,Preoperative blood pressure measurement,Preoperative blood pressure measurement,Preoperative blood pressure measurement,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.blood_pressure.ctv3,haemodynamics,blood_pressure,ctv3,gp_clinical,read_3,exact,true,662t.,Postoperative blood pressure measurement,Postoperative blood pressure measurement,Postoperative blood pressure measurement,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.blood_pressure.ctv3,haemodynamics,blood_pressure,ctv3,gp_clinical,read_3,exact,true,R1y2.,[D]Raised blood pressure reading,[D]Raised blood pressure reading,[D]Raised blood pressure reading,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.blood_pressure.ctv3,haemodynamics,blood_pressure,ctv3,gp_clinical,read_3,exact,true,R1y3.,[D]Low blood pressure reading,[D]Low blood pressure reading,[D]Low blood pressure reading,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.blood_pressure.ctv3,haemodynamics,blood_pressure,ctv3,gp_clinical,read_3,exact,true,XM09K,Raised blood pressure reading,Raised blood pressure reading,Raised blood pressure reading,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.blood_pressure.ctv3,haemodynamics,blood_pressure,ctv3,gp_clinical,read_3,exact,true,XM09L,Low blood pressure reading,Low blood pressure reading,Low blood pressure reading,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.blood_pressure.ctv3,haemodynamics,blood_pressure,ctv3,gp_clinical,read_3,exact,true,Xa42L,[D]Nonspecific low blood pressure reading,[D]Nonspecific low blood pressure reading,[D]Nonspecific low blood pressure reading,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.blood_pressure.ctv3,haemodynamics,blood_pressure,ctv3,gp_clinical,read_3,exact,true,XaOQP,Self measured blood pressure reading,Self measured blood pressure reading,Self measured blood pressure reading | Self measured BP reading,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.blood_pressure.ctv3,haemodynamics,blood_pressure,ctv3,gp_clinical,read_3,exact,true,XaeYd,Preoperative blood pressure measurement,Preoperative blood pressure measurement,Preoperative blood pressure measurement,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.blood_pressure.ctv3,haemodynamics,blood_pressure,ctv3,gp_clinical,read_3,exact,true,XaeYe,Postoperative blood pressure measurement,Postoperative blood pressure measurement,Postoperative blood pressure measurement,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
