trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
lipids.hdl_cholesterol.ctv3,lipids,hdl_cholesterol,ctv3,gp_clinical,read_3,exact,true,.44P5,Serum HDL cholesterol level,Serum HDL cholesterol level,core,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.hdl_cholesterol.ctv3,lipids,hdl_cholesterol,ctv3,gp_clinical,read_3,exact,true,.44PB,Serum fasting HDL cholesterol level,Serum fasting HDL cholesterol level,core,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.hdl_cholesterol.ctv3,lipids,hdl_cholesterol,ctv3,gp_clinical,read_3,exact,true,.44PC,Serum random HDL cholesterol level,Serum random HDL cholesterol level,core,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.hdl_cholesterol.ctv3,lipids,hdl_cholesterol,ctv3,gp_clinical,read_3,exact,true,.44d2,Plasma random HDL cholesterol level,Plasma random HDL cholesterol level,core,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.hdl_cholesterol.ctv3,lipids,hdl_cholesterol,ctv3,gp_clinical,read_3,exact,true,.44d3,Plasma fasting HDL cholesterol level,Plasma fasting HDL cholesterol level,core,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.hdl_cholesterol.ctv3,lipids,hdl_cholesterol,ctv3,gp_clinical,read_3,exact,true,.44dA,Plasma HDL cholesterol level,Plasma HDL cholesterol level,core,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.hdl_cholesterol.ctv3,lipids,hdl_cholesterol,ctv3,gp_clinical,read_3,exact,true,44P5.,Serum HDL cholesterol level,Serum HDL cholesterol level,core,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.hdl_cholesterol.ctv3,lipids,hdl_cholesterol,ctv3,gp_clinical,read_3,exact,true,44PB.,Serum fasting HDL cholesterol level,Serum fasting HDL cholesterol level,core,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.hdl_cholesterol.ctv3,lipids,hdl_cholesterol,ctv3,gp_clinical,read_3,exact,true,44PC.,Serum random HDL cholesterol level,Serum random HDL cholesterol level,core,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.hdl_cholesterol.ctv3,lipids,hdl_cholesterol,ctv3,gp_clinical,read_3,exact,true,44d2.,Plasma random HDL cholesterol level,Plasma random HDL cholesterol level,core,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.hdl_cholesterol.ctv3,lipids,hdl_cholesterol,ctv3,gp_clinical,read_3,exact,true,44d3.,Plasma fasting HDL cholesterol level,Plasma fasting HDL cholesterol level,core,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.hdl_cholesterol.ctv3,lipids,hdl_cholesterol,ctv3,gp_clinical,read_3,exact,true,44dA.,Plasma HDL cholesterol level,Plasma HDL cholesterol level,core,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.hdl_cholesterol.ctv3,lipids,hdl_cholesterol,ctv3,gp_clinical,read_3,exact,true,XaEVr,Plasma HDL cholesterol level,Plasma HDL cholesterol level,core,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.hdl_cholesterol.ctv3,lipids,hdl_cholesterol,ctv3,gp_clinical,read_3,exact,true,.44PL,Non high density lipoprotein cholesterol level,Non high density lipoprotein cholesterol level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.hdl_cholesterol.ctv3,lipids,hdl_cholesterol,ctv3,gp_clinical,read_3,exact,true,44PL.,Non high density lipoprotein cholesterol level,Non high density lipoprotein cholesterol level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.hdl_cholesterol.ctv3,lipids,hdl_cholesterol,ctv3,gp_clinical,read_3,exact,true,44PL0,Serum non high density lipoprotein cholesterol level,Serum non high density lipoprotein cholesterol level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.hdl_cholesterol.ctv3,lipids,hdl_cholesterol,ctv3,gp_clinical,read_3,exact,true,44PL1,Estimated serum non-high density lipoprotein cholesterol level,Estimated serum non-high density lipoprotein cholesterol level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.hdl_cholesterol.ctv3,lipids,hdl_cholesterol,ctv3,gp_clinical,read_3,exact,true,X772M,High density lipoprotein cholesterol level,High density lipoprotein cholesterol level | HDL - High density lipoprotein cholesterol level | HDLC - High density lipoprotein cholesterol level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.hdl_cholesterol.ctv3,lipids,hdl_cholesterol,ctv3,gp_clinical,read_3,exact,true,X80NX,High density lipoprotein cholesterol,High density lipoprotein cholesterol | HDL - High density lipoprotein cholesterol | HDLC - High density lipoprotein cholesterol,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.hdl_cholesterol.ctv3,lipids,hdl_cholesterol,ctv3,gp_clinical,read_3,exact,true,XaN3z,Non high density lipoprotein cholesterol level,Non high density lipoprotein cholesterol level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.hdl_cholesterol.ctv3,lipids,hdl_cholesterol,ctv3,gp_clinical,read_3,exact,true,XabE1,Serum non high density lipoprotein cholesterol level,Serum non high density lipoprotein cholesterol level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.hdl_cholesterol.ctv3,lipids,hdl_cholesterol,ctv3,gp_clinical,read_3,exact,true,XabT0,Estimated serum non-high density lipoprotein cholesterol level,Estimated serum non-high density lipoprotein cholesterol level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
