trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
liver.alkaline_phosphatase.ctv3,liver,alkaline_phosphatase,ctv3,gp_clinical,read_3,exact,true,.44CU,Plasma alkaline phosphatase level,Plasma alkaline phosphatase level,core,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
liver.alkaline_phosphatase.ctv3,liver,alkaline_phosphatase,ctv3,gp_clinical,read_3,exact,true,.44F.,Serum alkaline phosphatase,Serum alkaline phosphatase,core,numeric_candidate,U/L,read_ctv3_lkp,S,candidate_requires_clinical_review
liver.alkaline_phosphatase.ctv3,liver,alkaline_phosphatase,ctv3,gp_clinical,read_3,exact,true,44CU.,Plasma alkaline phosphatase level,Plasma alkaline phosphatase level,core,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
liver.alkaline_phosphatase.ctv3,liver,alkaline_phosphatase,ctv3,gp_clinical,read_3,exact,true,44F..,Serum alkaline phosphatase,Serum alkaline phosphatase (& level) | Serum alkaline phosphatase,core,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
liver.alkaline_phosphatase.ctv3,liver,alkaline_phosphatase,ctv3,gp_clinical,read_3,exact,true,XE28S,Serum alkaline phosphatase,Serum alkaline phosphatase,core,numeric_candidate,U/L,read_ctv3_lkp,S,candidate_requires_clinical_review
liver.alkaline_phosphatase.ctv3,liver,alkaline_phosphatase,ctv3,gp_clinical,read_3,exact,true,XE2px,Serum alkaline phosphatase,Serum alkaline phosphatase level | Serum alkaline phosphatase,core,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
liver.alkaline_phosphatase.ctv3,liver,alkaline_phosphatase,ctv3,gp_clinical,read_3,exact,true,XaIRj,Plasma alkaline phosphatase level,Plasma alkaline phosphatase level,core,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
liver.alkaline_phosphatase.ctv3,liver,alkaline_phosphatase,ctv3,gp_clinical,read_3,exact,true,.44FE,Serum alkaline phosphatase electrophoresis,Serum alkaline phosphatase electrophoresis,extended_review,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
liver.alkaline_phosphatase.ctv3,liver,alkaline_phosphatase,ctv3,gp_clinical,read_3,exact,true,.44FZ,Serum alkaline phosphatase NOS,Serum alkaline phosphatase NOS,extended_review,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
liver.alkaline_phosphatase.ctv3,liver,alkaline_phosphatase,ctv3,gp_clinical,read_3,exact,true,44FE.,Serum alkaline phosphatase electrophoresis,Serum alkaline phosphatase electrophoresis,extended_review,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
liver.alkaline_phosphatase.ctv3,liver,alkaline_phosphatase,ctv3,gp_clinical,read_3,exact,true,44FZ.,Serum alkaline phosphatase NOS,Serum alkaline phosphatase NOS,extended_review,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
liver.alkaline_phosphatase.ctv3,liver,alkaline_phosphatase,ctv3,gp_clinical,read_3,exact,true,XaIS1,Serum alkaline phosphatase electrophoresis,Serum alkaline phosphatase electrophoresis,extended_review,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
