trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,all_lookup_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
metabolic.calcium.ctv3,metabolic,calcium,ctv3,gp_clinical,read_3,exact,true,.44I8,Serum calcium,Serum calcium (& level) | Serum calcium,Serum calcium (& level) | Serum calcium | Calcium - serum,core,numeric_candidate,mmol/L; distinguish corrected and uncorrected,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.calcium.ctv3,metabolic,calcium,ctv3,gp_clinical,read_3,exact,true,.44IC,Adjusted serum calcium level,Corrected serum calcium level | Adjusted serum calcium level,Corrected serum calcium level | Adjusted serum calcium level,core,numeric_candidate,mmol/L; distinguish corrected and uncorrected,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.calcium.ctv3,metabolic,calcium,ctv3,gp_clinical,read_3,exact,true,.44h7,Plasma calcium level,Plasma calcium level,Plasma calcium level,core,numeric_candidate,mmol/L; distinguish corrected and uncorrected,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.calcium.ctv3,metabolic,calcium,ctv3,gp_clinical,read_3,exact,true,.44h9,Plasma corrected calcium level,Plasma corrected calcium level,Plasma corrected calcium level,core,numeric_candidate,mmol/L; distinguish corrected and uncorrected,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.calcium.ctv3,metabolic,calcium,ctv3,gp_clinical,read_3,exact,true,44I8.,Serum calcium,Serum calcium (& level) | Serum calcium,Serum calcium (& level) | Serum calcium | Calcium - serum,core,numeric_candidate,mmol/L; distinguish corrected and uncorrected,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.calcium.ctv3,metabolic,calcium,ctv3,gp_clinical,read_3,exact,true,44IC.,Adjusted serum calcium level,Corrected serum calcium level | Adjusted serum calcium level,Corrected serum calcium level | Adjusted serum calcium level,core,numeric_candidate,mmol/L; distinguish corrected and uncorrected,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.calcium.ctv3,metabolic,calcium,ctv3,gp_clinical,read_3,exact,true,44h7.,Plasma calcium level,Plasma calcium level,Plasma calcium level,core,numeric_candidate,mmol/L; distinguish corrected and uncorrected,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.calcium.ctv3,metabolic,calcium,ctv3,gp_clinical,read_3,exact,true,44h9.,Plasma corrected calcium level,Plasma corrected calcium level,Plasma corrected calcium level,core,numeric_candidate,mmol/L; distinguish corrected and uncorrected,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.calcium.ctv3,metabolic,calcium,ctv3,gp_clinical,read_3,exact,true,XE2q3,Serum calcium,Serum calcium level | Serum calcium,Serum calcium level | Serum calcium,core,numeric_candidate,mmol/L; distinguish corrected and uncorrected,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.calcium.ctv3,metabolic,calcium,ctv3,gp_clinical,read_3,exact,true,XaIRk,Plasma calcium level,Plasma calcium level,Plasma calcium level,core,numeric_candidate,mmol/L; distinguish corrected and uncorrected,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.calcium.ctv3,metabolic,calcium,ctv3,gp_clinical,read_3,exact,true,XaIRn,Plasma corrected calcium level,Plasma corrected calcium level,Plasma corrected calcium level,core,numeric_candidate,mmol/L; distinguish corrected and uncorrected,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.calcium.ctv3,metabolic,calcium,ctv3,gp_clinical,read_3,exact,true,44I80,Normal serum calcium level,Normal serum calcium level,Normal serum calcium level,extended_review,numeric_candidate,mmol/L; distinguish corrected and uncorrected,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.calcium.ctv3,metabolic,calcium,ctv3,gp_clinical,read_3,exact,true,44I81,Raised serum calcium level,Raised serum calcium level,Raised serum calcium level,extended_review,numeric_candidate,mmol/L; distinguish corrected and uncorrected,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.calcium.ctv3,metabolic,calcium,ctv3,gp_clinical,read_3,exact,true,44IC0,Serum adjusted calcium concentration,Serum adjusted calcium concentration,Serum adjusted calcium concentration,extended_review,numeric_candidate,mmol/L; distinguish corrected and uncorrected,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.calcium.ctv3,metabolic,calcium,ctv3,gp_clinical,read_3,exact,true,44h90,Plasma adjusted calcium concentration,Plasma adjusted calcium concentration,Plasma adjusted calcium concentration,extended_review,numeric_candidate,mmol/L; distinguish corrected and uncorrected,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.calcium.ctv3,metabolic,calcium,ctv3,gp_clinical,read_3,exact,true,Xabpk,Serum adjusted calcium concentration,Serum adjusted calcium concentration,Serum adjusted calcium concentration,extended_review,numeric_candidate,mmol/L; distinguish corrected and uncorrected,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.calcium.ctv3,metabolic,calcium,ctv3,gp_clinical,read_3,exact,true,Xabpr,Plasma adjusted calcium concentration,Plasma adjusted calcium concentration,Plasma adjusted calcium concentration,extended_review,numeric_candidate,mmol/L; distinguish corrected and uncorrected,read_ctv3_lkp,P,candidate_requires_clinical_review
