trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,all_lookup_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
renal.creatinine.ctv3,renal,creatinine,ctv3,gp_clinical,read_3,exact,true,.44J3,Serum creatinine,Serum creatinine (& level) | Serum creatinine,Serum creatinine (& level) | Serum creatinine | Creatinine - serum,core,numeric_candidate,umol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
renal.creatinine.ctv3,renal,creatinine,ctv3,gp_clinical,read_3,exact,true,.44JF,Plasma creatinine level,Plasma creatinine level,Plasma creatinine level,core,numeric_candidate,umol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
renal.creatinine.ctv3,renal,creatinine,ctv3,gp_clinical,read_3,exact,true,44J3.,Serum creatinine,Serum creatinine (& level) | Serum creatinine,Serum creatinine (& level) | Serum creatinine | Creatinine - serum,core,numeric_candidate,umol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
renal.creatinine.ctv3,renal,creatinine,ctv3,gp_clinical,read_3,exact,true,44JF.,Plasma creatinine level,Plasma creatinine level,Plasma creatinine level,core,numeric_candidate,umol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
renal.creatinine.ctv3,renal,creatinine,ctv3,gp_clinical,read_3,exact,true,XE2q5,Serum creatinine,Serum creatinine level | Serum creatinine,Serum creatinine level | Serum creatinine,core,numeric_candidate,umol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
renal.creatinine.ctv3,renal,creatinine,ctv3,gp_clinical,read_3,exact,true,XaETQ,Plasma creatinine level,Plasma creatinine level,Plasma creatinine level,core,numeric_candidate,umol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
renal.creatinine.ctv3,renal,creatinine,ctv3,gp_clinical,read_3,exact,true,.44JC,Corrected plasma creatinine level,Corrected plasma creatinine level,Corrected plasma creatinine level,extended_review,numeric_candidate,umol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
renal.creatinine.ctv3,renal,creatinine,ctv3,gp_clinical,read_3,exact,true,.44JD,Corrected serum creatinine level,Corrected serum creatinine level,Corrected serum creatinine level,extended_review,numeric_candidate,umol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
renal.creatinine.ctv3,renal,creatinine,ctv3,gp_clinical,read_3,exact,true,44J30,Serum creatinine abnormal,Serum creatinine abnormal,Serum creatinine abnormal,extended_review,numeric_candidate,umol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
renal.creatinine.ctv3,renal,creatinine,ctv3,gp_clinical,read_3,exact,true,44J31,Serum creatinine low,Serum creatinine low,Serum creatinine low,extended_review,numeric_candidate,umol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
renal.creatinine.ctv3,renal,creatinine,ctv3,gp_clinical,read_3,exact,true,44J32,Serum creatinine normal,Serum creatinine normal,Serum creatinine normal,extended_review,numeric_candidate,umol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
renal.creatinine.ctv3,renal,creatinine,ctv3,gp_clinical,read_3,exact,true,44J33,Serum creatinine raised,Serum creatinine raised,Serum creatinine raised,extended_review,numeric_candidate,umol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
renal.creatinine.ctv3,renal,creatinine,ctv3,gp_clinical,read_3,exact,true,44J3z,Serum creatinine NOS,Serum creatinine NOS,Serum creatinine NOS,extended_review,numeric_candidate,umol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
renal.creatinine.ctv3,renal,creatinine,ctv3,gp_clinical,read_3,exact,true,44JC.,Corrected plasma creatinine level,Corrected plasma creatinine level,Corrected plasma creatinine level,extended_review,numeric_candidate,umol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
renal.creatinine.ctv3,renal,creatinine,ctv3,gp_clinical,read_3,exact,true,44JD.,Corrected serum creatinine level,Corrected serum creatinine level,Corrected serum creatinine level,extended_review,numeric_candidate,umol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
renal.creatinine.ctv3,renal,creatinine,ctv3,gp_clinical,read_3,exact,true,XaERX,Corrected plasma creatinine level,Corrected plasma creatinine level,Corrected plasma creatinine level,extended_review,numeric_candidate,umol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
renal.creatinine.ctv3,renal,creatinine,ctv3,gp_clinical,read_3,exact,true,XaERc,Corrected serum creatinine level,Corrected serum creatinine level,Corrected serum creatinine level,extended_review,numeric_candidate,umol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
