trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
thyroid.tsh.ctv3,thyroid,tsh,ctv3,gp_clinical,read_3,exact,true,.442A,TSH - thyroid stim. hormone,Thyroid stimulating hormone (& level) | TSH - Thyroid stimulating hormone | TSH - thyroid stim. hormone,core,numeric_candidate,mIU/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
thyroid.tsh.ctv3,thyroid,tsh,ctv3,gp_clinical,read_3,exact,true,.442W,Serum TSH level,Serum TSH level,core,numeric_candidate,mIU/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
thyroid.tsh.ctv3,thyroid,tsh,ctv3,gp_clinical,read_3,exact,true,.442X,Plasma TSH level,Plasma TSH level,core,numeric_candidate,mIU/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
thyroid.tsh.ctv3,thyroid,tsh,ctv3,gp_clinical,read_3,exact,true,442A.,TSH - thyroid stim. hormone,TSH - thyroid stimulating hormone (& level) | TSH - thyroid stim. hormone,core,numeric_candidate,mIU/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
thyroid.tsh.ctv3,thyroid,tsh,ctv3,gp_clinical,read_3,exact,true,442W.,Serum TSH level,Serum TSH level,core,numeric_candidate,mIU/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
thyroid.tsh.ctv3,thyroid,tsh,ctv3,gp_clinical,read_3,exact,true,442X.,Plasma TSH level,Plasma TSH level,core,numeric_candidate,mIU/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
thyroid.tsh.ctv3,thyroid,tsh,ctv3,gp_clinical,read_3,exact,true,X80Gc,TSH - Thyroid stimulating hormone,Thyroid stimulating hormone | TSH - Thyroid stimulating hormone,core,numeric_candidate,mIU/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
thyroid.tsh.ctv3,thyroid,tsh,ctv3,gp_clinical,read_3,exact,true,XE27u,TSH - thyroid stim. hormone,Thyroid stimulating hormone (& level) | TSH - Thyroid stimulating hormone | TSH - thyroid stim. hormone,core,numeric_candidate,mIU/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
thyroid.tsh.ctv3,thyroid,tsh,ctv3,gp_clinical,read_3,exact,true,XE2wy,Thyroid stimulating hormone level,Thyroid stimulating hormone level | TSH - Thyroid stimulating hormone level,core,numeric_candidate,mIU/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
thyroid.tsh.ctv3,thyroid,tsh,ctv3,gp_clinical,read_3,exact,true,XaELV,Serum TSH level,Serum TSH level,core,numeric_candidate,mIU/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
thyroid.tsh.ctv3,thyroid,tsh,ctv3,gp_clinical,read_3,exact,true,XaELW,Plasma TSH level,Plasma TSH level,core,numeric_candidate,mIU/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
thyroid.tsh.ctv3,thyroid,tsh,ctv3,gp_clinical,read_3,exact,true,442A0,Serum TSH level normal,Serum TSH level normal,extended_review,numeric_candidate,mIU/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
thyroid.tsh.ctv3,thyroid,tsh,ctv3,gp_clinical,read_3,exact,true,442A1,Serum TSH level abnormal,Serum TSH level abnormal,extended_review,numeric_candidate,mIU/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
thyroid.tsh.ctv3,thyroid,tsh,ctv3,gp_clinical,read_3,exact,true,X40Gu,Autonomous thyroid function - suppressed TSH with normal T4 and T3,Autonomous thyroid function - suppressed TSH with normal T4 and T3,extended_review,numeric_candidate,mIU/L; verify source unit,read_ctv3_lkp,S,candidate_requires_clinical_review
thyroid.tsh.ctv3,thyroid,tsh,ctv3,gp_clinical,read_3,exact,true,X40H4,Thyrotoxicosis due to inappropriate TSH secretion,Thyrotoxicosis due to inappropriate TSH secretion,extended_review,numeric_candidate,mIU/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
thyroid.tsh.ctv3,thyroid,tsh,ctv3,gp_clinical,read_3,exact,true,X40Ki,TSH hypersecretion,TSH hypersecretion,extended_review,numeric_candidate,mIU/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
thyroid.tsh.ctv3,thyroid,tsh,ctv3,gp_clinical,read_3,exact,true,X78aJ,TSH-oma,TSH-oma,extended_review,numeric_candidate,mIU/L; verify source unit,read_ctv3_lkp,S,candidate_requires_clinical_review
thyroid.tsh.ctv3,thyroid,tsh,ctv3,gp_clinical,read_3,exact,true,XaBj2,Raised TSH level,Raised TSH level,extended_review,numeric_candidate,mIU/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
