trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0202010B0,Bendroflumethiazide,Bendroflumethiazide,core,prescription_exposure,not applicable,bnf_lkp,Thiazides And Related Diuretics | Thiazides And Related Diuretics | Diuretics | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0202010D0,Chlorothiazide,Chlorothiazide,core,prescription_exposure,not applicable,bnf_lkp,Thiazides And Related Diuretics | Thiazides And Related Diuretics | Diuretics | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0202010F0,Chlortalidone,Chlortalidone,core,prescription_exposure,not applicable,bnf_lkp,Thiazides And Related Diuretics | Thiazides And Related Diuretics | Diuretics | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0202010J0,Cyclopenthiazide,Cyclopenthiazide,core,prescription_exposure,not applicable,bnf_lkp,Thiazides And Related Diuretics | Thiazides And Related Diuretics | Diuretics | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0202010L0,Hydrochlorothiazide,Hydrochlorothiazide,core,prescription_exposure,not applicable,bnf_lkp,Thiazides And Related Diuretics | Thiazides And Related Diuretics | Diuretics | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0202010N0,Hydroflumethiazide,Hydroflumethiazide,core,prescription_exposure,not applicable,bnf_lkp,Thiazides And Related Diuretics | Thiazides And Related Diuretics | Diuretics | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0202010P0,Indapamide,Indapamide,core,prescription_exposure,not applicable,bnf_lkp,Thiazides And Related Diuretics | Thiazides And Related Diuretics | Diuretics | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0202010R0,Mefruside,Mefruside,core,prescription_exposure,not applicable,bnf_lkp,Thiazides And Related Diuretics | Thiazides And Related Diuretics | Diuretics | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0202010T0,Methyclothiazide,Methyclothiazide,core,prescription_exposure,not applicable,bnf_lkp,Thiazides And Related Diuretics | Thiazides And Related Diuretics | Diuretics | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0202010V0,Metolazone,Metolazone,core,prescription_exposure,not applicable,bnf_lkp,Thiazides And Related Diuretics | Thiazides And Related Diuretics | Diuretics | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0202010X0,Polythiazide,Polythiazide,core,prescription_exposure,not applicable,bnf_lkp,Thiazides And Related Diuretics | Thiazides And Related Diuretics | Diuretics | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0202010Y0,Xipamide,Xipamide,core,prescription_exposure,not applicable,bnf_lkp,Thiazides And Related Diuretics | Thiazides And Related Diuretics | Diuretics | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,020400010,Pindolol With Diuretic,Pindolol With Diuretic,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,020400020,Sotalol Hydrochloride With Diuretic,Sotalol Hydrochloride With Diuretic,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,020400030,Timolol With Diuretic,Timolol With Diuretic,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,020400040,Co-Tenidone (Atenolol/Chlortalidone),Co-Tenidone (Atenolol/Chlortalidone),core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,020400050,Tertatolol,Tertatolol,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,020400060,Celiprolol Hydrochloride,Celiprolol Hydrochloride,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,020400070,Esmolol Hydrochloride,Esmolol Hydrochloride,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,020400080,Carvedilol,Carvedilol,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,020400090,Bisoprolol Fumarate With Diuretic,Bisoprolol Fumarate With Diuretic,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0204000A0,Atenolol with Thiazides,Atenolol with Thiazides,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0204000AA,Penbutolol Sulfate,Penbutolol Sulfate,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0204000AB,Nebivolol,Nebivolol,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0204000AC,Bisoprolol Fumarate/Aspirin,Bisoprolol Fumarate/Aspirin,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0204000B0,Acebutolol Hydrochloride With Diuretic,Acebutolol Hydrochloride With Diuretic,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0204000C0,Acebutolol Hydrochloride,Acebutolol Hydrochloride,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0204000D0,Practolol,Practolol,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0204000E0,Atenolol,Atenolol,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0204000F0,Atenolol With Diuretic,Atenolol With Diuretic,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0204000G0,Betaxolol Hydrochloride,Betaxolol Hydrochloride,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0204000H0,Bisoprolol Fumarate,Bisoprolol Fumarate,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0204000I0,Labetalol Hydrochloride,Labetalol Hydrochloride,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0204000J0,Metoprolol Fumarate,Metoprolol Fumarate,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0204000K0,Metoprolol Tartrate,Metoprolol Tartrate,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
