trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601011A0,Insulin Aspart,Insulin Aspart,core,prescription_exposure,not applicable,bnf_lkp,Short-Acting Insulins | Insulin | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601011I0,Acid Insulin Injection,Acid Insulin Injection,core,prescription_exposure,not applicable,bnf_lkp,Short-Acting Insulins | Insulin | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601011L0,Insulin Lispro,Insulin Lispro,core,prescription_exposure,not applicable,bnf_lkp,Short-Acting Insulins | Insulin | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601011N0,Soluble Insulin (Neutral Insulin),Soluble Insulin (Neutral Insulin),core,prescription_exposure,not applicable,bnf_lkp,Short-Acting Insulins | Insulin | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601011P0,Insulin Glulisine,Insulin Glulisine,core,prescription_exposure,not applicable,bnf_lkp,Short-Acting Insulins | Insulin | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601011Q0,Insulin Human Inhaled,Insulin Human Inhaled,core,prescription_exposure,not applicable,bnf_lkp,Short-Acting Insulins | Insulin | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601011R0,Insulin Human,Insulin Human,core,prescription_exposure,not applicable,bnf_lkp,Short-Acting Insulins | Insulin | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,060101200,Other Intermed&Long-Acting Insulin Preps,Other Intermed&Long-Acting Insulin Preps,core,prescription_exposure,not applicable,bnf_lkp,Intermediate And Long-Acting Insulins | Insulin | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601012C0,Biphasic Insulin Injection,Biphasic Insulin Injection,core,prescription_exposure,not applicable,bnf_lkp,Intermediate And Long-Acting Insulins | Insulin | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601012D0,Biphasic Isophane Insulin,Biphasic Isophane Insulin,core,prescription_exposure,not applicable,bnf_lkp,Intermediate And Long-Acting Insulins | Insulin | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601012F0,Biphasic Insulin Lispro,Biphasic Insulin Lispro,core,prescription_exposure,not applicable,bnf_lkp,Intermediate And Long-Acting Insulins | Insulin | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601012G0,Insulin Zinc Suspension,Insulin Zinc Suspension,core,prescription_exposure,not applicable,bnf_lkp,Intermediate And Long-Acting Insulins | Insulin | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601012L0,Insulin Zinc Suspension (Amorphous),Insulin Zinc Suspension (Amorphous),core,prescription_exposure,not applicable,bnf_lkp,Intermediate And Long-Acting Insulins | Insulin | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601012N0,Insulin Zinc Suspension (Crystalline),Insulin Zinc Suspension (Crystalline),core,prescription_exposure,not applicable,bnf_lkp,Intermediate And Long-Acting Insulins | Insulin | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601012S0,Isophane Insulin,Isophane Insulin,core,prescription_exposure,not applicable,bnf_lkp,Intermediate And Long-Acting Insulins | Insulin | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601012U0,Protamine Zinc Insulin,Protamine Zinc Insulin,core,prescription_exposure,not applicable,bnf_lkp,Intermediate And Long-Acting Insulins | Insulin | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601012V0,Insulin Glargine,Insulin Glargine,core,prescription_exposure,not applicable,bnf_lkp,Intermediate And Long-Acting Insulins | Insulin | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601012W0,Biphasic Insulin Aspart,Biphasic Insulin Aspart,core,prescription_exposure,not applicable,bnf_lkp,Intermediate And Long-Acting Insulins | Insulin | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601012X0,Insulin Detemir,Insulin Detemir,core,prescription_exposure,not applicable,bnf_lkp,Intermediate And Long-Acting Insulins | Insulin | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601012Z0,Insulin Degludec,Insulin Degludec,core,prescription_exposure,not applicable,bnf_lkp,Intermediate And Long-Acting Insulins | Insulin | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601021A0,Glimepiride,Glimepiride,core,prescription_exposure,not applicable,bnf_lkp,Sulfonylureas | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601021B0,Acetohexamide,Acetohexamide,core,prescription_exposure,not applicable,bnf_lkp,Sulfonylureas | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601021E0,Chlorpropamide,Chlorpropamide,core,prescription_exposure,not applicable,bnf_lkp,Sulfonylureas | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601021H0,Glibenclamide,Glibenclamide,core,prescription_exposure,not applicable,bnf_lkp,Sulfonylureas | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601021K0,Glibornuride,Glibornuride,core,prescription_exposure,not applicable,bnf_lkp,Sulfonylureas | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601021M0,Gliclazide,Gliclazide,core,prescription_exposure,not applicable,bnf_lkp,Sulfonylureas | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601021P0,Glipizide,Glipizide,core,prescription_exposure,not applicable,bnf_lkp,Sulfonylureas | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601021R0,Gliquidone,Gliquidone,core,prescription_exposure,not applicable,bnf_lkp,Sulfonylureas | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601021T0,Glymidine,Glymidine,core,prescription_exposure,not applicable,bnf_lkp,Sulfonylureas | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601021V0,Tolazamide,Tolazamide,core,prescription_exposure,not applicable,bnf_lkp,Sulfonylureas | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601021X0,Tolbutamide,Tolbutamide,core,prescription_exposure,not applicable,bnf_lkp,Sulfonylureas | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601022B0,Metformin Hydrochloride,Metformin Hydrochloride,core,prescription_exposure,not applicable,bnf_lkp,Biguanides | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601022P0,Phenformin Hydrochloride,Phenformin Hydrochloride,core,prescription_exposure,not applicable,bnf_lkp,Biguanides | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023A0,Acarbose,Acarbose,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
