trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,all_lookup_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
medication.lipid_lowering.bnf,medication,lipid_lowering,bnf,gp_scripts,bnf_code,prefix,true,021200000,Other Lipid-Regulating Preps,Other Lipid-Regulating Preps,Other Lipid-Regulating Preps,core,prescription_exposure,not applicable,bnf_lkp,Lipid-Regulating Drugs | Lipid-Regulating Drugs | Lipid-Regulating Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.lipid_lowering.bnf,medication,lipid_lowering,bnf,gp_scripts,bnf_code,prefix,true,021200010,Ciprofibrate,Ciprofibrate,Ciprofibrate,core,prescription_exposure,not applicable,bnf_lkp,Lipid-Regulating Drugs | Lipid-Regulating Drugs | Lipid-Regulating Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.lipid_lowering.bnf,medication,lipid_lowering,bnf,gp_scripts,bnf_code,prefix,true,0212000A0,Acipimox,Acipimox,Acipimox,core,prescription_exposure,not applicable,bnf_lkp,Lipid-Regulating Drugs | Lipid-Regulating Drugs | Lipid-Regulating Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.lipid_lowering.bnf,medication,lipid_lowering,bnf,gp_scripts,bnf_code,prefix,true,0212000AA,Rosuvastatin Calcium,Rosuvastatin Calcium,Rosuvastatin Calcium,core,prescription_exposure,not applicable,bnf_lkp,Lipid-Regulating Drugs | Lipid-Regulating Drugs | Lipid-Regulating Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.lipid_lowering.bnf,medication,lipid_lowering,bnf,gp_scripts,bnf_code,prefix,true,0212000AB,Omega-3-Acid Ethyl Esters,Omega-3-Acid Ethyl Esters,Omega-3-Acid Ethyl Esters,core,prescription_exposure,not applicable,bnf_lkp,Lipid-Regulating Drugs | Lipid-Regulating Drugs | Lipid-Regulating Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.lipid_lowering.bnf,medication,lipid_lowering,bnf,gp_scripts,bnf_code,prefix,true,0212000AC,Simvastatin & Ezetimibe,Simvastatin & Ezetimibe,Simvastatin & Ezetimibe,core,prescription_exposure,not applicable,bnf_lkp,Lipid-Regulating Drugs | Lipid-Regulating Drugs | Lipid-Regulating Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.lipid_lowering.bnf,medication,lipid_lowering,bnf,gp_scripts,bnf_code,prefix,true,0212000AD,Colesevelam Hydrochloride,Colesevelam Hydrochloride,Colesevelam Hydrochloride,core,prescription_exposure,not applicable,bnf_lkp,Lipid-Regulating Drugs | Lipid-Regulating Drugs | Lipid-Regulating Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.lipid_lowering.bnf,medication,lipid_lowering,bnf,gp_scripts,bnf_code,prefix,true,0212000AE,Nicotinic Acid/Laropiprant,Nicotinic Acid/Laropiprant,Nicotinic Acid/Laropiprant,core,prescription_exposure,not applicable,bnf_lkp,Lipid-Regulating Drugs | Lipid-Regulating Drugs | Lipid-Regulating Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.lipid_lowering.bnf,medication,lipid_lowering,bnf,gp_scripts,bnf_code,prefix,true,0212000AF,Lomitapide,Lomitapide,Lomitapide,core,prescription_exposure,not applicable,bnf_lkp,Lipid-Regulating Drugs | Lipid-Regulating Drugs | Lipid-Regulating Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.lipid_lowering.bnf,medication,lipid_lowering,bnf,gp_scripts,bnf_code,prefix,true,0212000AG,Policosanol,Policosanol,Policosanol,core,prescription_exposure,not applicable,bnf_lkp,Lipid-Regulating Drugs | Lipid-Regulating Drugs | Lipid-Regulating Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.lipid_lowering.bnf,medication,lipid_lowering,bnf,gp_scripts,bnf_code,prefix,true,0212000AH,Evolocumab,Evolocumab,Evolocumab,core,prescription_exposure,not applicable,bnf_lkp,Lipid-Regulating Drugs | Lipid-Regulating Drugs | Lipid-Regulating Drugs | Cardiovascular System,candidate_requires_pharmacology_review
