trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
medication.lipid_lowering.read_v2_drug,medication,lipid_lowering,read_v2_drug,gp_scripts,read_2,exact,true,bx...,LIPID-LOWERING DRUGS,LIPID-LOWERING DRUGS,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 02.12.00.00,candidate_requires_pharmacology_review
medication.lipid_lowering.read_v2_drug,medication,lipid_lowering,read_v2_drug,gp_scripts,read_2,exact,true,bx1..,BEZAFIBRATE,BEZAFIBRATE,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 02.12.00.00,candidate_requires_pharmacology_review
medication.lipid_lowering.read_v2_drug,medication,lipid_lowering,read_v2_drug,gp_scripts,read_2,exact,true,bx11.,BEZALIP 200mg tablets,BEZALIP 200mg tablets,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 02.12.00.00,candidate_requires_pharmacology_review
medication.lipid_lowering.read_v2_drug,medication,lipid_lowering,read_v2_drug,gp_scripts,read_2,exact,true,bx12.,BEZALIP-MONO 400mg m/r tablets,BEZALIP-MONO 400mg m/r tablets,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 02.12.00.00,candidate_requires_pharmacology_review
medication.lipid_lowering.read_v2_drug,medication,lipid_lowering,read_v2_drug,gp_scripts,read_2,exact,true,bx13.,BEZAFIBRATE 200mg tablets,BEZAFIBRATE 200mg tablets,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 02.12.00.00,candidate_requires_pharmacology_review
medication.lipid_lowering.read_v2_drug,medication,lipid_lowering,read_v2_drug,gp_scripts,read_2,exact,true,bx14.,BEZAFIBRATE 400mg m/r tablets,BEZAFIBRATE 400mg m/r tablets,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 02.12.00.00,candidate_requires_pharmacology_review
medication.lipid_lowering.read_v2_drug,medication,lipid_lowering,read_v2_drug,gp_scripts,read_2,exact,true,bx15.,BEZAGEN XL 400mg m/r tablets,BEZAGEN XL 400mg m/r tablets,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 02.12.00.00,candidate_requires_pharmacology_review
medication.lipid_lowering.read_v2_drug,medication,lipid_lowering,read_v2_drug,gp_scripts,read_2,exact,true,bx16.,*LIPAROL XL 400mg m/r tablets,*LIPAROL XL 400mg m/r tablets,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 02.12.00.00,candidate_requires_pharmacology_review
medication.lipid_lowering.read_v2_drug,medication,lipid_lowering,read_v2_drug,gp_scripts,read_2,exact,true,bx17.,ZIMBACOL XL 400mg m/r tablets,ZIMBACOL XL 400mg m/r tablets,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 02.12.00.00,candidate_requires_pharmacology_review
medication.lipid_lowering.read_v2_drug,medication,lipid_lowering,read_v2_drug,gp_scripts,read_2,exact,true,bx18.,FIBRAZATE XL 400mg m/r tablets,FIBRAZATE XL 400mg m/r tablets,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 02.12.00.00,candidate_requires_pharmacology_review
