trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
medication.weight_management.bnf,medication,weight_management,bnf,gp_scripts,bnf_code,prefix,true,0405010M0,Methylcellulose,Methylcellulose,core,prescription_exposure,not applicable,bnf_lkp,Gastro-Intestinal Anti-Obesity Drugs | Gastro-Intestinal Anti-Obesity Drugs | Obesity | Central Nervous System,candidate_requires_pharmacology_review
medication.weight_management.bnf,medication,weight_management,bnf,gp_scripts,bnf_code,prefix,true,0405010P0,Orlistat,Orlistat,core,prescription_exposure,not applicable,bnf_lkp,Gastro-Intestinal Anti-Obesity Drugs | Gastro-Intestinal Anti-Obesity Drugs | Obesity | Central Nervous System,candidate_requires_pharmacology_review
medication.weight_management.bnf,medication,weight_management,bnf,gp_scripts,bnf_code,prefix,true,0405010S0,Sterculia,Sterculia,core,prescription_exposure,not applicable,bnf_lkp,Gastro-Intestinal Anti-Obesity Drugs | Gastro-Intestinal Anti-Obesity Drugs | Obesity | Central Nervous System,candidate_requires_pharmacology_review
medication.weight_management.bnf,medication,weight_management,bnf,gp_scripts,bnf_code,prefix,true,0405020D0,Dexfenfluramine Hydrochloride,Dexfenfluramine Hydrochloride,core,prescription_exposure,not applicable,bnf_lkp,Centrally-Acting Appetite Suppressants | Centrally-Acting Appetite Suppressants | Obesity | Central Nervous System,candidate_requires_pharmacology_review
medication.weight_management.bnf,medication,weight_management,bnf,gp_scripts,bnf_code,prefix,true,0405020E0,Diethylpropion Hydrochloride,Diethylpropion Hydrochloride,core,prescription_exposure,not applicable,bnf_lkp,Centrally-Acting Appetite Suppressants | Centrally-Acting Appetite Suppressants | Obesity | Central Nervous System,candidate_requires_pharmacology_review
medication.weight_management.bnf,medication,weight_management,bnf,gp_scripts,bnf_code,prefix,true,0405020I0,Fenfluramine Hydrochloride,Fenfluramine Hydrochloride,core,prescription_exposure,not applicable,bnf_lkp,Centrally-Acting Appetite Suppressants | Centrally-Acting Appetite Suppressants | Obesity | Central Nervous System,candidate_requires_pharmacology_review
medication.weight_management.bnf,medication,weight_management,bnf,gp_scripts,bnf_code,prefix,true,0405020N0,Mazindol,Mazindol,core,prescription_exposure,not applicable,bnf_lkp,Centrally-Acting Appetite Suppressants | Centrally-Acting Appetite Suppressants | Obesity | Central Nervous System,candidate_requires_pharmacology_review
medication.weight_management.bnf,medication,weight_management,bnf,gp_scripts,bnf_code,prefix,true,0405020R0,Phentermine,Phentermine,core,prescription_exposure,not applicable,bnf_lkp,Centrally-Acting Appetite Suppressants | Centrally-Acting Appetite Suppressants | Obesity | Central Nervous System,candidate_requires_pharmacology_review
medication.weight_management.bnf,medication,weight_management,bnf,gp_scripts,bnf_code,prefix,true,0405020S0,Sibutramine,Sibutramine,core,prescription_exposure,not applicable,bnf_lkp,Centrally-Acting Appetite Suppressants | Centrally-Acting Appetite Suppressants | Obesity | Central Nervous System,candidate_requires_pharmacology_review
medication.weight_management.bnf,medication,weight_management,bnf,gp_scripts,bnf_code,prefix,true,0405020T0,Rimonabant,Rimonabant,core,prescription_exposure,not applicable,bnf_lkp,Centrally-Acting Appetite Suppressants | Centrally-Acting Appetite Suppressants | Obesity | Central Nervous System,candidate_requires_pharmacology_review
medication.weight_management.bnf,medication,weight_management,bnf,gp_scripts,bnf_code,prefix,true,0405020U0,Naltrexone/Bupropion,Naltrexone/Bupropion,core,prescription_exposure,not applicable,bnf_lkp,Centrally-Acting Appetite Suppressants | Centrally-Acting Appetite Suppressants | Obesity | Central Nervous System,candidate_requires_pharmacology_review
