trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,all_lookup_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,aw1..,ORLISTAT,ORLISTAT,ORLISTAT,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Gastro-Intestinal Anti-Obesity Drugs | Mapped BNF code: 04.05.01.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,aw11.,ORLISTAT 120mg capsules,ORLISTAT 120mg capsules,ORLISTAT 120mg capsules,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Gastro-Intestinal Anti-Obesity Drugs | Mapped BNF code: 04.05.01.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,aw12.,XENICAL 120mg capsules,XENICAL 120mg capsules,XENICAL 120mg capsules,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Gastro-Intestinal Anti-Obesity Drugs | Mapped BNF code: 04.05.01.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,aw13.,ALLI 60mg capsules,ALLI 60mg capsules,ALLI 60mg capsules,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Gastro-Intestinal Anti-Obesity Drugs | Mapped BNF code: 04.05.01.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,aw14.,ORLISTAT 60mg capsules,ORLISTAT 60mg capsules,ORLISTAT 60mg capsules,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Gastro-Intestinal Anti-Obesity Drugs | Mapped BNF code: 04.05.01.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,aw15.,ALLI 27mg chewable tablets,ALLI 27mg chewable tablets,ALLI 27mg chewable tablets,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Gastro-Intestinal Anti-Obesity Drugs | Mapped BNF code: 04.05.01.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,aw16.,ORLISTAT 27mg chewable tablets,ORLISTAT 27mg chewable tablets,ORLISTAT 27mg chewable tablets,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Gastro-Intestinal Anti-Obesity Drugs | Mapped BNF code: 04.05.01.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,aw17.,BEACITA 120mg capsules,BEACITA 120mg capsules,BEACITA 120mg capsules,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Gastro-Intestinal Anti-Obesity Drugs | Mapped BNF code: 04.05.01.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,de...,BULK-FORMING DRUGS [APPETITE SUPPRESSANTS],BULK-FORMING DRUGS [APPETITE SUPPRESSANTS],BULK-FORMING DRUGS [APPETITE SUPPRESSANTS],core,prescription_exposure,not applicable,read_v2_drugs_bnf,Gastro-Intestinal Anti-Obesity Drugs | Mapped BNF code: 04.05.01.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,de1..,METHYLCELLULOSE [APPETITE SUPPRESSANTS],METHYLCELLULOSE [APPETITE SUPPRESSANTS],METHYLCELLULOSE [APPETITE SUPPRESSANTS],core,prescription_exposure,not applicable,read_v2_drugs_bnf,Gastro-Intestinal Anti-Obesity Drugs | Mapped BNF code: 04.05.01.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,de11.,CELEVAC 500mg tablets,CELEVAC 500mg tablets,CELEVAC 500mg tablets,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Gastro-Intestinal Anti-Obesity Drugs | Mapped BNF code: 04.05.01.00,candidate_requires_pharmacology_review
