code	description	code_group	recommended_use

# Routine or specimen-unspecified measurement
.22N0	Waist circumference	Routine or specimen-unspecified measurement	DEFAULT - use as a direct numeric waist circumference measurement; verify the recorded unit.
.22N8	Abdominal circumference	Routine or specimen-unspecified measurement	DEFAULT - use as a direct numeric waist circumference measurement; verify the recorded unit.
22N0.	Waist circumference	Routine or specimen-unspecified measurement	DEFAULT - use as a direct numeric waist circumference measurement; verify the recorded unit.
22N8.	Abdominal circumference	Routine or specimen-unspecified measurement	DEFAULT - use as a direct numeric waist circumference measurement; verify the recorded unit.
Xa041	Waist circumference	Routine or specimen-unspecified measurement	DEFAULT - use as a direct numeric waist circumference measurement; verify the recorded unit.
XaMgo	Abdominal circumference	Routine or specimen-unspecified measurement	DEFAULT - use as a direct numeric waist circumference measurement; verify the recorded unit.

# Baseline measurement
22N00	Baseline waist circumference	Baseline measurement	CONTEXT - use only when a baseline waist circumference measurement is intended.
XaZcj	Baseline waist circumference	Baseline measurement	CONTEXT - use only when a baseline waist circumference measurement is intended.
