code	description	recommended_use
.246A	O/E - Diastolic BP reading	DEFAULT - use as a direct numeric diastolic blood pressure measurement.
.246P	Standing diastolic blood pressure	CONTEXT - use only when the analysis includes standing blood pressure.
.246R	Sitting diastolic blood pressure	CONTEXT - use only when the analysis includes sitting blood pressure.
.246T	Lying diastolic blood pressure	CONTEXT - use only when the analysis includes lying blood pressure.
.246V	Average 24 hour diastolic blood pressure	CONTEXT - use only when the analysis includes 24-hour ambulatory average blood pressure.
.246X	Average day interval diastolic blood pressure	CONTEXT - use only when the analysis includes daytime ambulatory average blood pressure.
.246a	Average night interval diastolic blood pressure	CONTEXT - use only when the analysis includes night-time ambulatory average blood pressure.
.246c	Average home diastolic blood pressure	CONTEXT - use only when the analysis includes home measurement blood pressure.
.246f	Ambulatory diastolic blood pressure	CONTEXT - use only when the analysis includes ambulatory measurement blood pressure.
246A.	O/E - Diastolic BP reading	DEFAULT - use as a direct numeric diastolic blood pressure measurement.
246P.	Standing diastolic blood pressure	CONTEXT - use only when the analysis includes standing blood pressure.
246R.	Sitting diastolic blood pressure	CONTEXT - use only when the analysis includes sitting blood pressure.
246T.	Lying diastolic blood pressure	CONTEXT - use only when the analysis includes lying blood pressure.
246V.	Average 24 hour diastolic blood pressure	CONTEXT - use only when the analysis includes 24-hour ambulatory average blood pressure.
246X.	Average day interval diastolic blood pressure	CONTEXT - use only when the analysis includes daytime ambulatory average blood pressure.
246a.	Average night interval diastolic blood pressure	CONTEXT - use only when the analysis includes night-time ambulatory average blood pressure.
246c.	Average home diastolic blood pressure	CONTEXT - use only when the analysis includes home measurement blood pressure.
246f.	Ambulatory diastolic blood pressure	CONTEXT - use only when the analysis includes ambulatory measurement blood pressure.
246m.	Average diastolic blood pressure	CONTEXT - use for an averaged blood-pressure value, not a single reading.
XaF4S	Average diastolic blood pressure	CONTEXT - use for an averaged blood-pressure value, not a single reading.
XaF4Z	Average night interval diastolic blood pressure	CONTEXT - use only when the analysis includes night-time ambulatory average blood pressure.
XaF4a	Average day interval diastolic blood pressure	CONTEXT - use only when the analysis includes daytime ambulatory average blood pressure.
XaF4b	Average 24 hour diastolic blood pressure	CONTEXT - use only when the analysis includes 24-hour ambulatory average blood pressure.
XaIwk	Standing diastolic blood pressure	CONTEXT - use only when the analysis includes standing blood pressure.
XaJ2F	Sitting diastolic blood pressure	CONTEXT - use only when the analysis includes sitting blood pressure.
XaJ2H	Lying diastolic blood pressure	CONTEXT - use only when the analysis includes lying blood pressure.
XaKFw	Average home diastolic blood pressure	CONTEXT - use only when the analysis includes home measurement blood pressure.
XaKjG	Ambulatory diastolic blood pressure	CONTEXT - use only when the analysis includes ambulatory measurement blood pressure.
