research_use,phenotype,ukb_table,ukb_field,coding_system,matching,expected_units,code_count,codelist
Blood count and biological-age inputs,Haemoglobin,gp_clinical,read_3,ctv3,exact,g/L; verify source unit,5,phenotypes/haematology/gp_read3_haemoglobin.txt
Blood count and biological-age inputs,Haemoglobin,gp_clinical,read_2,read_v2,exact,g/L; verify source unit,1,phenotypes/haematology/gp_read2_haemoglobin.txt
Blood count and biological-age inputs,Mean corpuscular volume (MCV),gp_clinical,read_3,ctv3,exact,fL,2,phenotypes/haematology/gp_read3_mean_corpuscular_volume.txt
Blood count and biological-age inputs,Mean corpuscular volume (MCV),gp_clinical,read_2,read_v2,exact,fL,1,phenotypes/haematology/gp_read2_mean_corpuscular_volume.txt
Blood count and biological-age inputs,Platelet count,gp_clinical,read_3,ctv3,exact,10^9/L,4,phenotypes/haematology/gp_read3_platelet_count.txt
Blood count and biological-age inputs,Platelet count,gp_clinical,read_2,read_v2,exact,10^9/L,2,phenotypes/haematology/gp_read2_platelet_count.txt
Blood count and biological-age inputs,Red cell distribution width (RDW),gp_clinical,read_3,ctv3,exact,%,4,phenotypes/haematology/gp_read3_red_cell_distribution_width.txt
Blood count and biological-age inputs,Red cell distribution width (RDW),gp_clinical,read_2,read_v2,exact,%,1,phenotypes/haematology/gp_read2_red_cell_distribution_width.txt
Blood count and biological-age inputs,White blood cell count,gp_clinical,read_3,ctv3,exact,10^9/L,6,phenotypes/haematology/gp_read3_white_blood_cell_count.txt
Blood count and biological-age inputs,White blood cell count,gp_clinical,read_2,read_v2,exact,10^9/L,3,phenotypes/haematology/gp_read2_white_blood_cell_count.txt
Blood-pressure measurements,Blood pressure (generic),gp_clinical,read_3,ctv3,exact,mmHg,2,phenotypes/haemodynamics/gp_read3_blood_pressure.txt
Blood-pressure measurements,Blood pressure (generic),gp_clinical,read_2,read_v2,exact,mmHg,1,phenotypes/haemodynamics/gp_read2_blood_pressure.txt
Blood-pressure measurements,Diastolic blood pressure,gp_clinical,read_3,ctv3,exact,mmHg,28,phenotypes/haemodynamics/gp_read3_diastolic_blood_pressure.txt
Blood-pressure measurements,Diastolic blood pressure,gp_clinical,read_2,read_v2,exact,mmHg,10,phenotypes/haemodynamics/gp_read2_diastolic_blood_pressure.txt
Blood-pressure measurements,Systolic blood pressure,gp_clinical,read_3,ctv3,exact,mmHg,28,phenotypes/haemodynamics/gp_read3_systolic_blood_pressure.txt
Blood-pressure measurements,Systolic blood pressure,gp_clinical,read_2,read_v2,exact,mmHg,10,phenotypes/haemodynamics/gp_read2_systolic_blood_pressure.txt
Body size and adiposity,Body height,gp_clinical,read_3,ctv3,exact,cm or m; verify source unit,3,phenotypes/anthropometry/gp_read3_body_height.txt
Body size and adiposity,Body height,gp_clinical,read_2,read_v2,exact,cm or m; verify source unit,1,phenotypes/anthropometry/gp_read2_body_height.txt
Body size and adiposity,Body mass index (BMI),gp_clinical,read_3,ctv3,exact,kg/m2,2,phenotypes/anthropometry/gp_read3_body_mass_index.txt
Body size and adiposity,Body mass index (BMI),gp_clinical,read_2,read_v2,exact,kg/m2,1,phenotypes/anthropometry/gp_read2_body_mass_index.txt
Body size and adiposity,Body weight,gp_clinical,read_3,ctv3,exact,kg; verify source unit,3,phenotypes/anthropometry/gp_read3_body_weight.txt
Body size and adiposity,Body weight,gp_clinical,read_2,read_v2,exact,kg; verify source unit,1,phenotypes/anthropometry/gp_read2_body_weight.txt
Body size and adiposity,Hip circumference,gp_clinical,read_3,ctv3,exact,cm; verify source unit,3,phenotypes/anthropometry/gp_read3_hip_circumference.txt
Body size and adiposity,Hip circumference,gp_clinical,read_2,read_v2,exact,cm; verify source unit,1,phenotypes/anthropometry/gp_read2_hip_circumference.txt
Body size and adiposity,Waist circumference,gp_clinical,read_3,ctv3,exact,cm; verify source unit,8,phenotypes/anthropometry/gp_read3_waist_circumference.txt
Body size and adiposity,Waist circumference,gp_clinical,read_2,read_v2,exact,cm; verify source unit,3,phenotypes/anthropometry/gp_read2_waist_circumference.txt
Cardiometabolic prescriptions,Antihypertensive medicines,gp_scripts,bnf_code,bnf,prefix,not applicable,131,phenotypes/medications/gp_bnf_antihypertensive.txt
Cardiometabolic prescriptions,Antihypertensive medicines,gp_scripts,read_2,read_v2_drug,exact,not applicable,1098,phenotypes/medications/gp_read2drugs_antihypertensive.txt
Cardiometabolic prescriptions,Glucose-lowering medicines,gp_scripts,bnf_code,bnf,prefix,not applicable,68,phenotypes/medications/gp_bnf_glucose_lowering.txt
Cardiometabolic prescriptions,Glucose-lowering medicines,gp_scripts,read_2,read_v2_drug,exact,not applicable,507,phenotypes/medications/gp_read2drugs_glucose_lowering.txt
Cardiometabolic prescriptions,Lipid-lowering medicines,gp_scripts,bnf_code,bnf,prefix,not applicable,34,phenotypes/medications/gp_bnf_lipid_lowering.txt
Cardiometabolic prescriptions,Lipid-lowering medicines,gp_scripts,read_2,read_v2_drug,exact,not applicable,189,phenotypes/medications/gp_read2drugs_lipid_lowering.txt
Cardiometabolic prescriptions,Weight-management medicines,gp_scripts,bnf_code,bnf,prefix,not applicable,11,phenotypes/medications/gp_bnf_weight_management.txt
Cardiometabolic prescriptions,Weight-management medicines,gp_scripts,read_2,read_v2_drug,exact,not applicable,47,phenotypes/medications/gp_read2drugs_weight_management.txt
Glycaemia and diabetes monitoring,Blood glucose,gp_clinical,read_3,ctv3,exact,mmol/L; verify source unit,97,phenotypes/glycaemia/gp_read3_blood_glucose.txt
Glycaemia and diabetes monitoring,Blood glucose,gp_clinical,read_2,read_v2,exact,mmol/L; verify source unit,31,phenotypes/glycaemia/gp_read2_blood_glucose.txt
Glycaemia and diabetes monitoring,C-peptide,gp_clinical,read_3,ctv3,exact,nmol/L or pmol/L; verify source unit,6,phenotypes/glycaemia/gp_read3_c_peptide.txt
Glycaemia and diabetes monitoring,C-peptide,gp_clinical,read_2,read_v2,exact,nmol/L or pmol/L; verify source unit,2,phenotypes/glycaemia/gp_read2_c_peptide.txt
