code	description	recommended_use
.44P5	Serum HDL cholesterol level	DEFAULT - use as a direct numeric hdl cholesterol measurement; verify the recorded unit.
.44PB	Serum fasting HDL cholesterol level	DEFAULT - use as a direct numeric hdl cholesterol measurement; verify the recorded unit.
.44PC	Serum random HDL cholesterol level	DEFAULT - use as a direct numeric hdl cholesterol measurement; verify the recorded unit.
.44d2	Plasma random HDL cholesterol level	DEFAULT - use as a direct numeric hdl cholesterol measurement; verify the recorded unit.
.44d3	Plasma fasting HDL cholesterol level	DEFAULT - use as a direct numeric hdl cholesterol measurement; verify the recorded unit.
.44dA	Plasma HDL cholesterol level	DEFAULT - use as a direct numeric hdl cholesterol measurement; verify the recorded unit.
44P5.	Serum HDL cholesterol level	DEFAULT - use as a direct numeric hdl cholesterol measurement; verify the recorded unit.
44PB.	Serum fasting HDL cholesterol level	DEFAULT - use as a direct numeric hdl cholesterol measurement; verify the recorded unit.
44PC.	Serum random HDL cholesterol level	DEFAULT - use as a direct numeric hdl cholesterol measurement; verify the recorded unit.
44d2.	Plasma random HDL cholesterol level	DEFAULT - use as a direct numeric hdl cholesterol measurement; verify the recorded unit.
44d3.	Plasma fasting HDL cholesterol level	DEFAULT - use as a direct numeric hdl cholesterol measurement; verify the recorded unit.
44dA.	Plasma HDL cholesterol level	DEFAULT - use as a direct numeric hdl cholesterol measurement; verify the recorded unit.
XaEVr	Plasma HDL cholesterol level	DEFAULT - use as a direct numeric hdl cholesterol measurement; verify the recorded unit.
