code	description	code_group	recommended_use

# Routine or specimen-unspecified measurement
44G4.	Gamma-glutamyl transferase level	Routine or specimen-unspecified measurement	DEFAULT - use as a direct numeric gamma-glutamyl transferase (ggt) measurement; verify the recorded unit.
X80E1	Gamma-glutamyl transpeptidase	Routine or specimen-unspecified measurement	DEFAULT - use as a direct numeric gamma-glutamyl transferase (ggt) measurement; verify the recorded unit.

# Plasma measurement
.44G7	Plasma gamma-glutamyl transferase level	Plasma measurement	DEFAULT - use as a direct numeric gamma-glutamyl transferase (ggt) measurement; verify the recorded unit.
44G7.	Plasma gamma-glutamyl transferase level	Plasma measurement	DEFAULT - use as a direct numeric gamma-glutamyl transferase (ggt) measurement; verify the recorded unit.
XaES4	Plasma gamma-glutamyl transferase level	Plasma measurement	DEFAULT - use as a direct numeric gamma-glutamyl transferase (ggt) measurement; verify the recorded unit.

# Serum measurement
.44G9	Serum gamma-glutamyl transferase level	Serum measurement	DEFAULT - use as a direct numeric gamma-glutamyl transferase (ggt) measurement; verify the recorded unit.
44G9.	Serum gamma-glutamyl transferase level	Serum measurement	DEFAULT - use as a direct numeric gamma-glutamyl transferase (ggt) measurement; verify the recorded unit.
XaES3	Serum gamma-glutamyl transferase level	Serum measurement	DEFAULT - use as a direct numeric gamma-glutamyl transferase (ggt) measurement; verify the recorded unit.
