code	description	recommended_use
0202010B0	Bendroflumethiazide	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0202010D0	Chlorothiazide	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0202010F0	Chlortalidone	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0202010J0	Cyclopenthiazide	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0202010L0	Hydrochlorothiazide	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0202010N0	Hydroflumethiazide	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0202010P0	Indapamide	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0202010R0	Mefruside	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0202010T0	Methyclothiazide	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0202010V0	Metolazone	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0202010X0	Polythiazide	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0202010Y0	Xipamide	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
020400010	Pindolol With Diuretic	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
020400020	Sotalol Hydrochloride With Diuretic	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
020400030	Timolol With Diuretic	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
020400040	Co-Tenidone (Atenolol/Chlortalidone)	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
020400050	Tertatolol	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
020400060	Celiprolol Hydrochloride	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
020400070	Esmolol Hydrochloride	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
020400080	Carvedilol	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
020400090	Bisoprolol Fumarate With Diuretic	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0204000A0	Atenolol with Thiazides	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0204000AA	Penbutolol Sulfate	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0204000AB	Nebivolol	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0204000AC	Bisoprolol Fumarate/Aspirin	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0204000B0	Acebutolol Hydrochloride With Diuretic	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0204000C0	Acebutolol Hydrochloride	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0204000D0	Practolol	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0204000E0	Atenolol	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0204000F0	Atenolol With Diuretic	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0204000G0	Betaxolol Hydrochloride	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0204000H0	Bisoprolol Fumarate	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0204000I0	Labetalol Hydrochloride	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0204000J0	Metoprolol Fumarate	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0204000K0	Metoprolol Tartrate	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0204000L0	Carteolol Hydrochloride	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0204000M0	Nadolol	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0204000N0	Oxprenolol Hydrochloride	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0204000P0	Pindolol	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0204000Q0	Propranolol Hydrochloride With Diuretic	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
0204000R0	Propranolol Hydrochloride	DEFAULT - prefix-match to identify antihypertensive medicines prescriptions.
