code	description	code_group	recommended_use

# Biguanides
0601022B0	Metformin Hydrochloride	Biguanides	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601022P0	Phenformin Hydrochloride	Biguanides	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.

# Intermediate And Long-Acting Insulins
060101200	Other Intermed&Long-Acting Insulin Preps	Intermediate And Long-Acting Insulins	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601012C0	Biphasic Insulin Injection	Intermediate And Long-Acting Insulins	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601012D0	Biphasic Isophane Insulin	Intermediate And Long-Acting Insulins	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601012F0	Biphasic Insulin Lispro	Intermediate And Long-Acting Insulins	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601012G0	Insulin Zinc Suspension	Intermediate And Long-Acting Insulins	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601012L0	Insulin Zinc Suspension (Amorphous)	Intermediate And Long-Acting Insulins	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601012N0	Insulin Zinc Suspension (Crystalline)	Intermediate And Long-Acting Insulins	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601012S0	Isophane Insulin	Intermediate And Long-Acting Insulins	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601012U0	Protamine Zinc Insulin	Intermediate And Long-Acting Insulins	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601012V0	Insulin Glargine	Intermediate And Long-Acting Insulins	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601012W0	Biphasic Insulin Aspart	Intermediate And Long-Acting Insulins	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601012X0	Insulin Detemir	Intermediate And Long-Acting Insulins	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601012Z0	Insulin Degludec	Intermediate And Long-Acting Insulins	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.

# Other Antidiabetic Drugs
0601023A0	Acarbose	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023AA	Vildagliptin	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023AB	Liraglutide	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
0601023AC	Saxagliptin	Other Antidiabetic Drugs	DEFAULT - prefix-match to identify glucose-lowering medicines prescriptions.
