code	description	code_group	recommended_use

# Angiotensin-Converting Enzyme Inhibitors
bi...	ANGIOTENSIN-CONVERTING ENZYME INHIBITORS	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi1..	CAPTOPRIL	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi11.	ACEPRIL 12.5mg tablets	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi12.	ACEPRIL 25mg tablets	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi13.	ACEPRIL 25mg tablets x56	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi14.	ACEPRIL 50mg tablets	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi15.	ACEPRIL 50mg tablets x56	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi16.	*CAPOTEN 12.5mg tablets	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi17.	CAPOTEN 25mg tablets	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi18.	CAPOTEN 25mg tablets x56	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi19.	CAPOTEN 50mg tablets	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi1A.	*HYPAPRIL 12.5mg tablets	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi1B.	*HYPAPRIL 25mg tablets	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi1C.	*HYPAPRIL 50mg tablets	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi1D.	*CAPTO-CO 25mg/12.5mg tablets	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi1E.	*CAPTO-CO 50mg/25mg tablets	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi1F.	CO-ZIDOCAPT 25mg/12.5mg tablet	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi1G.	*CO-ZIDOCAPT 50mg/25mg tablets	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi1H.	NOYADA 5mg/5mL oral solution	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi1I.	CAPTOPRIL 5mg/5mL oral solution	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi1J.	NOYADA 25mg/5mL oral solution	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi1K.	CAPTOPRIL 25mg/5mL oral solution	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi1a.	CAPOTEN 50mg tablets x56	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi1b.	ACEZIDE 50mg tablets x56	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi1c.	*CAPOZIDE 50mg tablets x28	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi1d.	*CAPOZIDE LS 25mg tabletsx28CP	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi1e.	CAPTOPRIL+HYDROCHLOROTHIAZIDE 25mg/12.5mg tablets	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi1f.	CAPTOPRIL+HYDROCHLOROTHIAZIDE 50mg/25mg tablets	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi1g.	ECOPACE 12.5mg tablets	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi1h.	ECOPACE 25mg tablets	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi1i.	ECOPACE 50mg tablets	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
bi1j.	*KAPLON 12.5mg tablets	Angiotensin-Converting Enzyme Inhibitors	DEFAULT - exact-match to identify antihypertensive medicines prescriptions.
