code	description	code_group	recommended_use

# Biguanides
f4...	BIGUANIDES	Biguanides	DEFAULT - exact-match to identify glucose-lowering medicines prescriptions.
f41..	METFORMIN HYDROCHLORIDE	Biguanides	DEFAULT - exact-match to identify glucose-lowering medicines prescriptions.
f411.	GLUCOPHAGE 500mg tablets	Biguanides	DEFAULT - exact-match to identify glucose-lowering medicines prescriptions.
f412.	GLUCOPHAGE 850mg tablets	Biguanides	DEFAULT - exact-match to identify glucose-lowering medicines prescriptions.
f413.	*ORABET 500mg tablets	Biguanides	DEFAULT - exact-match to identify glucose-lowering medicines prescriptions.
f414.	*ORABET 850mg tablets	Biguanides	DEFAULT - exact-match to identify glucose-lowering medicines prescriptions.
f415.	*GLUCAMET-500 tablets	Biguanides	DEFAULT - exact-match to identify glucose-lowering medicines prescriptions.
f416.	*GLUCAMET-850 tablets	Biguanides	DEFAULT - exact-match to identify glucose-lowering medicines prescriptions.
f417.	GLUCOPHAGE SR 500mg m/r tablets	Biguanides	DEFAULT - exact-match to identify glucose-lowering medicines prescriptions.
f418.	METSOL 500mg/5mL oral solution	Biguanides	DEFAULT - exact-match to identify glucose-lowering medicines prescriptions.
f419.	GLUCOPHAGE SR 750mg m/r tablets	Biguanides	DEFAULT - exact-match to identify glucose-lowering medicines prescriptions.
f41A.	GLUCOPHAGE SR 1000mg m/r tablets	Biguanides	DEFAULT - exact-match to identify glucose-lowering medicines prescriptions.
f41B.	BOLAMYN SR 500mg m/r tablets	Biguanides	DEFAULT - exact-match to identify glucose-lowering medicines prescriptions.
f41E.	METABET SR 500mg m/r tablets	Biguanides	DEFAULT - exact-match to identify glucose-lowering medicines prescriptions.
f41F.	METABET SR 1000mg m/r tablets	Biguanides	DEFAULT - exact-match to identify glucose-lowering medicines prescriptions.
f41G.	GLUCIENT SR 500mg m/r tablets	Biguanides	DEFAULT - exact-match to identify glucose-lowering medicines prescriptions.
f41H.	DIAGEMET XL 500mg m/r tablets	Biguanides	DEFAULT - exact-match to identify glucose-lowering medicines prescriptions.
f41I.	SUKKARTO SR 500mg m/r tablets	Biguanides	DEFAULT - exact-match to identify glucose-lowering medicines prescriptions.
f41J.	SUKKARTO SR 1000mg m/r tablets	Biguanides	DEFAULT - exact-match to identify glucose-lowering medicines prescriptions.
f41u.	METFORMIN HYDROCHLORIDE 1000mg m/r tablets	Biguanides	DEFAULT - exact-match to identify glucose-lowering medicines prescriptions.
f41v.	METFORMIN HYDROCHLORIDE 750mg m/r tablets	Biguanides	DEFAULT - exact-match to identify glucose-lowering medicines prescriptions.
