code	description	code_group	recommended_use

# Lipid-Regulating Drugs
bx...	LIPID-LOWERING DRUGS	Lipid-Regulating Drugs	DEFAULT - exact-match to identify lipid-lowering medicines prescriptions.
bx1..	BEZAFIBRATE	Lipid-Regulating Drugs	DEFAULT - exact-match to identify lipid-lowering medicines prescriptions.
bx11.	BEZALIP 200mg tablets	Lipid-Regulating Drugs	DEFAULT - exact-match to identify lipid-lowering medicines prescriptions.
bx12.	BEZALIP-MONO 400mg m/r tablets	Lipid-Regulating Drugs	DEFAULT - exact-match to identify lipid-lowering medicines prescriptions.
bx13.	BEZAFIBRATE 200mg tablets	Lipid-Regulating Drugs	DEFAULT - exact-match to identify lipid-lowering medicines prescriptions.
bx14.	BEZAFIBRATE 400mg m/r tablets	Lipid-Regulating Drugs	DEFAULT - exact-match to identify lipid-lowering medicines prescriptions.
bx15.	BEZAGEN XL 400mg m/r tablets	Lipid-Regulating Drugs	DEFAULT - exact-match to identify lipid-lowering medicines prescriptions.
bx16.	*LIPAROL XL 400mg m/r tablets	Lipid-Regulating Drugs	DEFAULT - exact-match to identify lipid-lowering medicines prescriptions.
bx17.	ZIMBACOL XL 400mg m/r tablets	Lipid-Regulating Drugs	DEFAULT - exact-match to identify lipid-lowering medicines prescriptions.
bx18.	FIBRAZATE XL 400mg m/r tablets	Lipid-Regulating Drugs	DEFAULT - exact-match to identify lipid-lowering medicines prescriptions.
bx2..	COLESTYRAMINE [LIPID LOWERING USE]	Lipid-Regulating Drugs	DEFAULT - exact-match to identify lipid-lowering medicines prescriptions.
bx21.	QUESTRAN powder 4g/sachet	Lipid-Regulating Drugs	DEFAULT - exact-match to identify lipid-lowering medicines prescriptions.
bx22.	QUESTRAN LIGHT 4g/sachet powder	Lipid-Regulating Drugs	DEFAULT - exact-match to identify lipid-lowering medicines prescriptions.
bx23.	COLESTYRAMINE powder 4g/sachet	Lipid-Regulating Drugs	DEFAULT - exact-match to identify lipid-lowering medicines prescriptions.
bx24.	CHOLESTYRAMINE SUG FREE powder 4g/sachet	Lipid-Regulating Drugs	DEFAULT - exact-match to identify lipid-lowering medicines prescriptions.
bx25.	COLESTYRAMINE+ASPARTAME 4g/sachet powder	Lipid-Regulating Drugs	DEFAULT - exact-match to identify lipid-lowering medicines prescriptions.
bx26.	*CHOLEMIN 4g/sachet powder	Lipid-Regulating Drugs	DEFAULT - exact-match to identify lipid-lowering medicines prescriptions.
bx27.	COLESTYRAMINE+ASPARTAME 4g/sachet sugar free powder	Lipid-Regulating Drugs	DEFAULT - exact-match to identify lipid-lowering medicines prescriptions.
bx28.	QUESTRAN LIGHT 4g/sachet s/f powder	Lipid-Regulating Drugs	DEFAULT - exact-match to identify lipid-lowering medicines prescriptions.
bx3..	CLOFIBRATE	Lipid-Regulating Drugs	DEFAULT - exact-match to identify lipid-lowering medicines prescriptions.
bx31.	*ATROMID-S 500mg capsules	Lipid-Regulating Drugs	DEFAULT - exact-match to identify lipid-lowering medicines prescriptions.
bx3z.	*CLOFIBRATE 500mg capsules	Lipid-Regulating Drugs	DEFAULT - exact-match to identify lipid-lowering medicines prescriptions.
