code	description	code_group	recommended_use

# Unadjusted total calcium
.44I8	Serum calcium	Unadjusted total calcium	DEFAULT - use for unadjusted total calcium; do not mix with corrected calcium without a plan.
.44h7	Plasma calcium level	Unadjusted total calcium	DEFAULT - use for unadjusted total calcium; do not mix with corrected calcium without a plan.
44I8.	Serum calcium	Unadjusted total calcium	DEFAULT - use for unadjusted total calcium; do not mix with corrected calcium without a plan.
44h7.	Plasma calcium level	Unadjusted total calcium	DEFAULT - use for unadjusted total calcium; do not mix with corrected calcium without a plan.
XE2q3	Serum calcium	Unadjusted total calcium	DEFAULT - use for unadjusted total calcium; do not mix with corrected calcium without a plan.
XaIRk	Plasma calcium level	Unadjusted total calcium	DEFAULT - use for unadjusted total calcium; do not mix with corrected calcium without a plan.

# Albumin-adjusted or corrected calcium
.44IC	Adjusted serum calcium level	Albumin-adjusted or corrected calcium	CONTEXT - use for albumin-adjusted/corrected calcium.
.44h9	Plasma corrected calcium level	Albumin-adjusted or corrected calcium	CONTEXT - use for albumin-adjusted/corrected calcium.
44IC.	Adjusted serum calcium level	Albumin-adjusted or corrected calcium	CONTEXT - use for albumin-adjusted/corrected calcium.
44h9.	Plasma corrected calcium level	Albumin-adjusted or corrected calcium	CONTEXT - use for albumin-adjusted/corrected calcium.
XaIRn	Plasma corrected calcium level	Albumin-adjusted or corrected calcium	CONTEXT - use for albumin-adjusted/corrected calcium.
