code	description	code_group	recommended_use

# Routine or specimen-unspecified measurement
.44J7	Albumin/creatinine ratio	Routine or specimen-unspecified measurement	DEFAULT - use as a direct numeric urine albumin-creatinine ratio measurement; verify the recorded unit.
44J7.	Albumin/creatinine ratio	Routine or specimen-unspecified measurement	DEFAULT - use as a direct numeric urine albumin-creatinine ratio measurement; verify the recorded unit.
X773Y	Albumin/creatinine ratio	Routine or specimen-unspecified measurement	DEFAULT - use as a direct numeric urine albumin-creatinine ratio measurement; verify the recorded unit.

# Urine measurement
.46TC	Urine albumin:creatinine ratio	Urine measurement	DEFAULT - use as a direct numeric urine albumin-creatinine ratio measurement; verify the recorded unit.
.46TD	Urine microalbumin:creatinine ratio	Urine measurement	DEFAULT - use as a direct numeric urine albumin-creatinine ratio measurement; verify the recorded unit.
46TC.	Urine albumin:creatinine ratio	Urine measurement	DEFAULT - use as a direct numeric urine albumin-creatinine ratio measurement; verify the recorded unit.
46TD.	Urine microalbumin:creatinine ratio	Urine measurement	DEFAULT - use as a direct numeric urine albumin-creatinine ratio measurement; verify the recorded unit.
XE2n3	Urine albumin:creatinine ratio	Urine measurement	DEFAULT - use as a direct numeric urine albumin-creatinine ratio measurement; verify the recorded unit.
XE2n4	Urine microalbumin/creatinine ratio	Urine measurement	DEFAULT - use as a direct numeric urine albumin-creatinine ratio measurement; verify the recorded unit.
